Age,Gender,Country,City_Tier,Monthly_Income,Occupation,Fitness_Enthusiast,Shoes_Per_Year,Preferred_Shoe_Types,Interested_in_Customization,Preferred_Customization_Level,Interest_AI_Style_Advisor,Interest_AR_TryOn,Interest_Limited_Edition,Interest_Eco_Friendly,Interest_Single_Pair_Manufacturing,Preferred_Materials,Willing_to_Pay_More_for_Sustainable,Max_Price_Willing_to_Pay,Difficulty_in_Finding_Size,Shoe_Size,Likelihood_to_Use_App,Purchased_Custom_Before,Importance_Brand,Importance_Comfort,Importance_Design,Importance_Price,Importance_Uniqueness,Try_on_Recommendation_By_Friend,Frustration_With_Online_Shoe_Buying,Buy_if_AR_Visualization,Participate_in_Design_Contests,App_Try_Timeline
25,Prefer not to say,UAE,Tier 2,284.8,Self-employed,Yes,2,"Formal, Casual",No,Sole type,3,1,3,5,2,Knit,Yes,134.58,Yes,7.6,2,No,1,1,2,5,3,No,Generic design,Yes,Yes,Within a month
27,Male,Other,Tier 2,1496.05,Other,Yes,4,"Formal, Ethnic",Yes,Full Design,4,4,5,3,2,"Leather, Canvas",Yes,186.77,No,8.7,5,No,4,5,2,5,3,Yes,Size mismatch,Yes,Yes,Within a month
25,Male,UAE,Tier 3,329.27,Student,No,2,"Ethnic, Slippers",No,Sole type,3,1,3,1,4,Leather,No,84.63,No,9.5,5,No,5,2,2,4,3,No,Long delivery time,Yes,Yes,Immediately
44,Female,India,Tier 2,451.78,Other,Yes,3,"Sports, Boots, Formal",Yes,Full Design,2,1,3,3,4,"Vegan, Canvas, Knit",No,100.51,No,7.5,5,No,4,1,2,4,2,Yes,None of the above,No,No,Immediately
29,Female,USA,Tier 1,1068.56,Student,Yes,2,"Ethnic, Formal, Slippers",Yes,Color only,5,5,3,5,2,"Canvas, Vegan, Leather",Yes,128.5,No,7.0,3,Yes,2,1,2,4,3,Yes,Long delivery time,Yes,Yes,Never
21,Female,India,Tier 2,1271.43,Self-employed,Yes,4,"Sneakers, Casual",Yes,Full Design,5,2,3,3,3,"Knit, Recyclable materials, Canvas",No,155.23,No,9.7,2,No,5,4,1,5,2,Yes,Poor product information,Yes,No,Within a month
36,Female,India,Tier 2,649.21,Professional,Yes,3,"Ethnic, Boots, Formal",Yes,Full Design,4,5,1,1,3,"Recyclable materials, Knit",Yes,127.18,Yes,10.7,5,No,4,5,4,2,4,Yes,Generic design,Yes,Yes,Within a month
20,Female,India,Tier 2,770.7,Student,No,6,"Casual, Sports, Formal",Yes,Full Design,5,2,1,3,1,"Knit, Recyclable materials",No,171.43,Yes,8.9,3,No,1,5,5,5,4,Yes,Size mismatch,Yes,No,Never
31,Male,USA,Tier 1,336.47,Professional,Yes,3,Slippers,No,Color only,1,1,3,3,4,"Vegan, Recyclable materials, Leather",Yes,93.53,Yes,8.3,1,No,2,4,4,5,2,Maybe,Size mismatch,Yes,Yes,Within a month
14,Prefer not to say,UK,Tier 1,741.93,Professional,Yes,6,"Sneakers, Casual",Yes,Material,4,4,1,5,3,"Vegan, Knit, Leather",Yes,74.38,Yes,9.2,4,Yes,3,2,4,1,2,Yes,Long delivery time,Yes,Yes,Immediately
19,Prefer not to say,India,Tier 3,5296.93,Professional,Yes,2,Formal,No,Color only,4,5,4,4,5,"Knit, Vegan",Yes,132.33,No,9.1,2,Yes,5,1,3,3,1,Yes,Size mismatch,Yes,Yes,Within 3 months
31,Female,India,Tier 2,4542.67,Student,No,5,"Ethnic, Casual, Formal",Yes,Sole type,4,1,1,1,2,Recyclable materials,No,116.91,No,9.4,3,No,3,1,4,1,4,Maybe,None of the above,Yes,Yes,Never
35,Male,USA,Tier 3,811.68,Professional,Yes,4,"Sneakers, Slippers, Ethnic",Yes,Full Design,4,2,3,5,3,Canvas,Yes,141.71,No,5.2,4,No,5,5,3,1,4,Yes,Size mismatch,Yes,No,Immediately
31,Female,India,Tier 2,1468.94,Self-employed,Yes,7,Casual,Yes,Material,2,1,4,4,1,Knit,No,118.9,No,7.4,4,No,5,5,5,3,5,Maybe,Size mismatch,Yes,No,Within a month
29,Male,India,Tier 2,3805.19,Professional,Yes,4,Formal,Yes,Sole type,4,5,5,5,3,"Recyclable materials, Vegan, Canvas",Yes,106.4,No,7.7,3,No,2,3,1,2,3,Maybe,Size mismatch,No,Yes,Never
27,Male,USA,Tier 2,209.3,Professional,Yes,2,"Boots, Slippers, Casual",Yes,Sole type,1,5,2,5,3,Canvas,No,117.0,No,9.2,3,No,3,4,2,2,2,No,Long delivery time,Yes,Yes,Immediately
18,Male,UK,Tier 3,2696.5,Professional,Yes,4,"Boots, Sneakers, Slippers",Yes,Material,2,1,1,5,2,"Canvas, Vegan",Yes,121.15,No,9.3,3,No,5,5,1,1,1,No,Poor product information,Yes,Yes,Immediately
24,Female,India,Tier 2,4645.47,Student,No,8,"Casual, Formal",Yes,Full Design,2,5,5,4,4,"Canvas, Vegan, Knit",Yes,107.8,No,10.0,5,No,5,4,1,3,5,Yes,Size mismatch,Yes,Yes,Within a month
26,Female,India,Tier 2,343.65,Self-employed,No,3,Boots,Yes,Full Design,5,3,4,5,2,"Knit, Recyclable materials, Canvas",Yes,111.87,No,9.4,1,No,4,3,3,5,2,Yes,Generic design,Yes,Yes,Immediately
38,Female,India,Tier 1,464.12,Self-employed,No,2,"Sports, Slippers",No,Color only,4,3,1,2,3,"Vegan, Recyclable materials, Leather",No,103.86,Yes,7.0,5,Yes,4,5,2,5,5,Yes,None of the above,No,No,Within a month
32,Female,Other,Tier 1,5056.56,Professional,Yes,5,Formal,Yes,Sole type,3,3,2,3,1,"Knit, Canvas, Leather",Yes,154.27,Yes,11.2,4,No,3,5,2,3,2,Yes,Generic design,Yes,No,Within 3 months
15,Male,UK,Tier 2,1356.79,Professional,Yes,4,"Formal, Ethnic, Sneakers",Yes,Material,4,2,3,5,4,"Recyclable materials, Vegan, Leather",Yes,127.76,No,10.9,4,No,2,3,2,1,5,Yes,Size mismatch,Yes,Yes,Immediately
32,Male,UK,Tier 1,221.45,Entrepreneur,Yes,2,"Sports, Sneakers, Ethnic",Yes,Sole type,2,5,5,3,2,"Leather, Recyclable materials, Vegan",No,210.27,No,7.1,4,Yes,3,3,1,1,1,Maybe,Size mismatch,Yes,No,Within 3 months
26,Male,India,Tier 1,646.87,Professional,No,6,"Sneakers, Boots, Casual",No,Full Design,3,1,5,1,3,"Leather, Recyclable materials, Canvas",No,126.43,No,9.5,3,No,1,4,3,2,3,Yes,Long delivery time,Yes,Yes,Immediately
24,Prefer not to say,USA,Tier 1,1096.6,Self-employed,Yes,3,"Slippers, Sports, Ethnic",No,Full Design,4,5,4,2,5,Canvas,Yes,97.97,No,8.1,2,Yes,3,3,1,1,4,Maybe,Generic design,Yes,Yes,Immediately
34,Male,India,Tier 1,1970.92,Professional,No,2,"Boots, Casual, Ethnic",Yes,Material,1,4,2,5,2,Canvas,No,226.83,No,9.2,5,No,3,5,4,1,3,No,None of the above,No,Yes,Immediately
38,Female,USA,Tier 1,2181.66,Entrepreneur,Yes,8,Casual,Yes,Material,1,5,2,3,5,Canvas,No,136.55,No,10.6,2,No,1,2,1,1,4,Yes,Generic design,Yes,Yes,Within 3 months
37,Female,Other,Tier 1,8279.58,Professional,Yes,5,"Formal, Sneakers",Yes,Material,5,5,5,3,1,"Vegan, Knit, Leather",Yes,159.6,No,12.2,1,No,2,5,5,5,3,Yes,Size mismatch,Yes,Yes,Immediately
23,Male,USA,Tier 3,708.49,Professional,Yes,4,Ethnic,Yes,Sole type,3,3,2,4,4,"Recyclable materials, Vegan, Knit",Yes,143.68,No,10.1,1,No,5,3,1,5,4,Yes,Poor product information,No,Yes,Immediately
27,Female,UAE,Tier 2,1359.0,Other,Yes,2,"Casual, Boots, Formal",Yes,Color only,2,3,2,5,2,"Leather, Recyclable materials",No,144.92,Yes,9.4,5,No,2,2,1,2,2,No,Generic design,Yes,Yes,Never
32,Female,UK,Tier 1,1343.18,Professional,No,3,"Sports, Ethnic, Casual",No,Sole type,2,5,4,5,1,"Recyclable materials, Vegan, Leather",No,141.43,No,8.5,4,Yes,1,1,1,4,1,Yes,Poor product information,Yes,Yes,Never
37,Female,India,Tier 1,980.42,Professional,No,6,"Boots, Slippers, Formal",Yes,Color only,2,2,4,3,5,Recyclable materials,Yes,303.68,Yes,9.3,1,No,1,1,5,5,4,No,None of the above,No,Yes,Immediately
26,Other,Other,Tier 2,477.98,Professional,Yes,0,Casual,Yes,Material,3,1,5,1,1,"Knit, Recyclable materials, Leather",Yes,134.7,No,11.0,2,No,4,2,5,4,4,No,Poor product information,Yes,Yes,Immediately
28,Male,India,Tier 1,5888.47,Professional,Yes,3,Boots,No,Material,1,5,5,4,2,"Vegan, Canvas, Leather",Yes,67.01,No,8.9,2,No,2,1,3,2,3,Maybe,Generic design,No,No,Within a month
21,Male,USA,Tier 3,3079.22,Professional,No,3,"Sports, Boots, Casual",Yes,Full Design,3,3,1,5,5,Recyclable materials,Yes,113.03,No,7.7,3,Yes,2,2,1,4,5,Yes,Size mismatch,Yes,No,Within a month
20,Female,India,Tier 2,1234.73,Student,No,5,"Sports, Slippers",Yes,Full Design,1,2,3,4,2,Canvas,Yes,90.98,No,6.6,4,No,2,1,3,4,2,No,Size mismatch,No,No,Never
36,Other,India,Tier 2,1586.66,Student,Yes,0,"Slippers, Casual",Yes,Material,5,1,3,1,5,Recyclable materials,Yes,134.3,No,9.8,3,No,3,2,5,5,4,Yes,Generic design,Yes,Yes,Immediately
40,Male,USA,Tier 1,586.72,Professional,Yes,5,Sports,Yes,Color only,1,3,1,3,1,"Knit, Recyclable materials, Canvas",No,133.37,No,9.4,5,No,3,5,1,4,2,Yes,Generic design,Yes,Yes,Immediately
29,Female,India,Tier 2,1377.19,Entrepreneur,Yes,4,Boots,No,Sole type,1,3,1,2,4,"Leather, Knit",No,139.25,No,8.0,1,No,3,3,1,5,3,Yes,Size mismatch,No,Yes,Within a month
38,Female,USA,Tier 1,1981.02,Professional,Yes,2,Sports,Yes,Material,2,4,2,4,1,"Vegan, Canvas",Yes,131.49,No,10.5,3,Yes,1,1,2,1,4,Maybe,Size mismatch,Yes,No,Within a month
32,Female,USA,Tier 3,1285.93,Professional,Yes,4,"Sneakers, Sports, Boots",Yes,Sole type,3,3,5,4,5,"Canvas, Knit, Vegan",Yes,95.73,No,8.4,3,No,3,4,1,1,4,Maybe,Generic design,Yes,Yes,Within 3 months
24,Male,India,Tier 2,7151.15,Professional,Yes,6,Formal,Yes,Full Design,5,4,3,4,1,Leather,Yes,109.56,No,8.8,5,No,2,1,4,4,3,Yes,Long delivery time,Yes,Yes,Within 3 months
32,Female,India,Tier 1,1617.58,Student,Yes,8,"Sneakers, Boots, Formal",No,Sole type,5,5,4,5,3,Vegan,Yes,156.82,Yes,9.0,2,No,2,5,4,3,5,No,Poor product information,Yes,Yes,Within a month
42,Other,USA,Tier 1,895.37,Professional,Yes,3,"Boots, Slippers",Yes,Sole type,5,4,3,3,5,"Vegan, Recyclable materials",No,162.71,Yes,8.5,2,No,3,3,2,1,2,Yes,Generic design,Yes,Yes,Immediately
29,Male,India,Tier 1,2418.61,Student,Yes,2,"Formal, Boots",Yes,Sole type,4,5,1,1,3,Leather,No,74.13,No,9.4,5,No,5,2,1,2,2,No,Size mismatch,No,Yes,Within a month
42,Male,UK,Tier 2,480.33,Student,No,3,"Ethnic, Formal, Casual",No,Full Design,5,1,2,1,5,"Canvas, Leather, Recyclable materials",Yes,58.76,No,10.7,2,Yes,2,4,4,2,1,Yes,Generic design,No,No,Immediately
13,Prefer not to say,UK,Tier 1,928.02,Professional,No,3,"Ethnic, Slippers",Yes,Full Design,5,1,5,5,2,"Knit, Leather",Yes,90.92,No,7.3,5,Yes,1,1,1,3,2,Yes,Generic design,No,Yes,Within a month
36,Male,UAE,Tier 2,839.17,Professional,Yes,2,"Sneakers, Boots",Yes,Sole type,3,5,4,3,3,"Leather, Canvas, Recyclable materials",Yes,161.81,No,9.7,2,No,2,3,1,5,5,No,Size mismatch,Yes,No,Never
30,Female,UK,Tier 1,1047.94,Student,No,1,"Sports, Formal",Yes,Material,4,1,2,5,1,"Recyclable materials, Vegan, Canvas",Yes,168.6,No,9.3,5,Yes,3,5,4,2,5,No,Generic design,No,Yes,Within a month
27,Female,USA,Tier 2,2483.38,Professional,No,7,Sports,Yes,Material,4,2,2,2,4,Leather,Yes,83.01,No,9.2,2,No,4,2,4,2,2,Yes,Poor product information,Yes,No,Immediately
30,Male,UK,Tier 3,1192.98,Professional,Yes,5,"Sports, Boots",Yes,Color only,1,5,2,2,1,"Knit, Leather, Vegan",No,132.29,No,10.3,3,No,5,3,5,1,4,No,Size mismatch,No,Yes,Within a month
14,Female,India,Tier 2,2569.92,Professional,Yes,8,"Formal, Boots, Slippers",Yes,Sole type,2,2,4,3,1,"Leather, Canvas",No,193.38,No,9.1,3,No,1,2,5,1,1,Yes,Generic design,No,Yes,Immediately
28,Male,India,Tier 2,1488.76,Professional,No,3,Sports,Yes,Sole type,1,1,4,4,5,"Canvas, Vegan, Leather",Yes,136.61,No,9.7,2,Yes,1,2,2,2,1,Yes,Poor product information,Yes,Yes,Immediately
32,Female,UK,Tier 1,827.98,Self-employed,No,4,"Ethnic, Sports, Formal",Yes,Color only,4,1,5,3,2,"Canvas, Recyclable materials",No,176.86,No,10.1,5,No,4,5,5,2,1,Yes,Long delivery time,Yes,Yes,Within 3 months
41,Male,USA,Tier 1,2690.93,Student,No,5,Sports,Yes,Color only,2,5,3,2,5,"Vegan, Knit, Canvas",No,159.95,Yes,8.2,3,No,4,3,2,3,5,Maybe,Size mismatch,No,Yes,Within a month
25,Female,UK,Tier 2,608.28,Professional,No,7,"Sports, Boots",Yes,Material,4,1,3,2,1,"Canvas, Leather, Knit",No,83.59,Yes,9.4,1,No,5,4,4,3,5,Maybe,Long delivery time,Yes,Yes,Within a month
23,Male,UAE,Tier 1,581.14,Student,No,5,Casual,Yes,Full Design,5,2,1,4,3,"Knit, Leather, Vegan",No,112.4,No,8.6,2,No,4,4,5,5,1,Yes,Size mismatch,Yes,Yes,Within a month
25,Male,UAE,Tier 1,1253.29,Student,Yes,1,"Sneakers, Formal, Boots",No,Sole type,5,2,4,3,3,"Canvas, Leather",Yes,121.39,No,8.8,1,Yes,4,3,2,2,5,No,Size mismatch,No,Yes,Immediately
37,Prefer not to say,Other,Tier 1,653.38,Professional,Yes,3,Ethnic,Yes,Sole type,4,2,3,5,1,"Recyclable materials, Vegan",Yes,124.17,No,8.5,1,No,3,1,4,1,3,No,Generic design,Yes,Yes,Immediately
32,Male,USA,Tier 1,213.69,Professional,Yes,3,"Boots, Sneakers, Formal",No,Material,5,3,1,4,1,"Leather, Knit",No,156.65,No,9.7,4,No,1,5,2,5,4,Maybe,Poor product information,No,Yes,Immediately
25,Female,India,Tier 1,1767.45,Self-employed,Yes,7,"Slippers, Sneakers",Yes,Sole type,1,1,3,2,3,"Vegan, Canvas",No,136.35,No,9.1,1,No,5,3,3,4,4,Maybe,None of the above,No,No,Within 3 months
34,Male,USA,Tier 3,1273.38,Professional,No,3,Sports,Yes,Material,2,4,4,4,4,"Recyclable materials, Vegan",No,20.0,No,9.6,1,No,2,1,2,5,1,No,Generic design,Yes,No,Within 3 months
30,Female,India,Tier 1,1084.58,Other,Yes,4,Ethnic,Yes,Sole type,4,5,3,2,4,"Canvas, Vegan",Yes,67.49,No,9.0,4,Yes,4,3,5,2,4,Yes,Poor product information,Yes,Yes,Never
37,Male,USA,Tier 2,5315.44,Student,No,0,"Casual, Sneakers",No,Color only,5,5,5,3,4,Recyclable materials,Yes,32.5,Yes,6.6,4,Yes,1,1,3,4,4,Yes,None of the above,Yes,Yes,Within a month
24,Prefer not to say,UK,Tier 1,1470.14,Student,Yes,4,"Sneakers, Ethnic",No,Material,5,5,4,3,5,"Canvas, Leather",Yes,127.01,Yes,9.0,4,No,5,5,1,2,1,Maybe,Poor product information,Yes,Yes,Within a month
27,Female,UK,Tier 2,3186.39,Student,Yes,3,Ethnic,Yes,Material,2,1,1,1,3,Knit,Yes,129.62,No,9.1,5,No,5,5,5,1,4,Maybe,Size mismatch,Yes,Yes,Immediately
26,Male,India,Tier 1,425.28,Student,Yes,4,"Ethnic, Sports, Slippers",No,Material,5,1,1,4,5,Vegan,Yes,131.33,No,9.4,4,Yes,2,2,5,3,1,Yes,Poor product information,No,No,Immediately
18,Male,India,Tier 3,1463.19,Professional,Yes,4,"Ethnic, Casual",Yes,Full Design,5,4,5,2,3,"Canvas, Vegan, Recyclable materials",Yes,81.64,No,8.1,5,No,4,5,3,5,3,Maybe,None of the above,Yes,No,Within a month
32,Male,USA,Tier 3,3237.2,Professional,No,2,Formal,Yes,Color only,4,1,5,2,2,"Leather, Recyclable materials",Yes,146.97,No,7.2,2,No,2,3,2,2,1,No,Generic design,Yes,No,Within a month
32,Female,India,Tier 1,1512.38,Student,No,6,Formal,No,Material,3,2,5,5,2,Knit,Yes,148.65,No,9.9,5,Yes,3,4,4,3,1,Yes,Generic design,Yes,No,Within 3 months
30,Male,UAE,Tier 3,2098.85,Self-employed,No,5,"Sneakers, Formal, Slippers",No,Sole type,5,5,1,4,5,"Knit, Recyclable materials",Yes,69.79,No,8.6,2,No,4,5,4,1,2,No,Generic design,Yes,Yes,Within a month
28,Female,India,Tier 3,897.93,Self-employed,Yes,4,Casual,No,Full Design,5,3,4,4,4,Canvas,Yes,61.36,No,9.3,4,Yes,2,2,1,2,2,Yes,Generic design,No,Yes,Never
18,Male,India,Tier 3,345.51,Professional,Yes,2,"Formal, Sports",Yes,Material,2,1,1,3,4,Canvas,Yes,119.99,No,8.6,4,No,1,5,4,1,1,No,Long delivery time,No,No,Immediately
26,Male,India,Tier 3,1118.46,Student,Yes,5,"Slippers, Boots",Yes,Full Design,4,5,2,2,3,"Vegan, Recyclable materials",Yes,191.67,Yes,9.0,2,No,3,2,5,3,5,No,Size mismatch,Yes,Yes,Immediately
27,Female,USA,Tier 1,952.5,Student,Yes,1,Sports,Yes,Full Design,1,4,3,2,2,Leather,No,187.99,No,8.3,3,Yes,2,2,2,4,5,Maybe,Size mismatch,Yes,No,Within 3 months
23,Female,USA,Tier 2,3226.79,Student,No,4,"Boots, Sports, Ethnic",Yes,Material,2,4,4,4,5,Knit,Yes,142.54,No,7.5,5,No,5,3,1,2,2,Maybe,Poor product information,Yes,No,Immediately
28,Male,India,Tier 1,619.56,Student,No,5,Formal,No,Material,1,2,2,5,2,"Leather, Knit, Canvas",Yes,90.8,No,9.7,1,No,3,5,4,5,4,Yes,Long delivery time,Yes,Yes,Within 3 months
33,Male,India,Tier 1,5304.84,Professional,No,0,"Sneakers, Slippers",Yes,Material,2,4,4,1,2,Knit,No,155.47,No,8.1,4,Yes,4,5,2,4,3,Yes,Generic design,Yes,No,Immediately
45,Male,USA,Tier 3,4960.07,Professional,Yes,3,Slippers,Yes,Full Design,3,2,2,1,3,"Vegan, Leather",Yes,101.9,No,9.2,5,No,3,4,2,4,3,Maybe,Generic design,Yes,Yes,Within a month
31,Female,India,Tier 1,626.79,Professional,No,1,"Sports, Formal",Yes,Color only,2,3,4,4,3,"Recyclable materials, Canvas, Knit",No,89.3,No,9.6,5,No,3,5,2,5,1,No,Size mismatch,Yes,Yes,Immediately
32,Female,UK,Tier 2,841.69,Other,Yes,3,"Sports, Sneakers",Yes,Material,2,3,3,4,3,"Canvas, Vegan, Leather",Yes,34.24,No,8.1,4,No,4,5,2,4,4,Maybe,Size mismatch,Yes,No,Immediately
29,Female,USA,Tier 3,3588.65,Professional,No,3,"Slippers, Sneakers",Yes,Sole type,5,5,4,2,2,Knit,No,124.1,No,7.2,2,No,4,4,4,2,1,Yes,Long delivery time,Yes,Yes,Within 3 months
14,Female,India,Tier 3,5299.8,Self-employed,Yes,1,"Sneakers, Ethnic",Yes,Sole type,4,2,1,5,1,"Knit, Vegan",Yes,94.81,Yes,12.6,4,Yes,3,1,3,5,4,Maybe,Size mismatch,Yes,No,Immediately
29,Female,India,Tier 3,1078.97,Student,Yes,2,"Slippers, Boots, Sneakers",No,Material,1,1,4,1,3,Leather,No,123.86,No,8.2,5,Yes,5,5,3,2,4,Yes,Generic design,Yes,No,Immediately
30,Female,Other,Tier 1,780.69,Professional,Yes,6,Formal,Yes,Sole type,2,4,3,3,5,Vegan,No,28.03,No,9.9,3,No,5,1,4,2,4,Yes,Size mismatch,Yes,Yes,Within 3 months
